MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,20BELGI472,138000.0,10.0,2019-12-05 00:00:00,V2
DC0001,628,71500.0,,2019-07-31 00:00:00,V1
DC0001,20BELGI600,160000.0,10.0,2019-12-05 00:00:00,V2
DC0001,629,66000.0,,2019-07-31 00:00:00,V1
DC0001,20CABERNET750,225000.0,10.0,2019-12-05 00:00:00,V2
DC0001,630,77000.0,,2019-07-31 00:00:00,V1
DC0001,20CADAHILL750,85000.0,10.0,2019-12-05 00:00:00,V2
DC0001,633,77000.0,,2019-07-31 00:00:00,V1
DC0001,20CHALLOT305,46000.0,10.0,2019-12-05 00:00:00,V2
DC0001,634,66000.0,,2019-07-31 00:00:00,V1
DC0001,20CHALLOT336,56000.0,10.0,2019-12-05 00:00:00,V2
DC0001,635,55000.0,,2019-07-31 00:00:00,V1
DC0001,20CHIVAS18,1450000.0,10.0,2019-12-05 00:00:00,V2
DC0001,636,55000.0,,2019-07-31 00:00:00,V1
DC0001,20DOLLYA300,76000.0,10.0,2019-12-05 00:00:00,V2
DC0001,637,66000.0,,2019-07-31 00:00:00,V1
DC0001,20DUONG1KG,18500.0,10.0,2019-12-05 00:00:00,V2
DC0001,638,66000.0,,2019-07-31 00:00:00,V1
DC0001,20GIODUA,1.0,10.0,2019-12-05 00:00:00,V2
DC0001,639,71500.0,,2019-07-31 00:00:00,V1
DC0001,20GIOVUONG,1.0,10.0,2019-12-05 00:00:00,V2
DC0001,640,66000.0,,2019-07-31 00:00:00,V1
DC0001,20GUARDIA750,319000.0,10.0,2019-12-05 00:00:00,V2
DC0001,641,71500.0,,2019-07-31 00:00:00,V1
DC0001,20HATDIEU500,165000.0,10.0,2020-01-17 00:00:00,V2
DC0001,643,55000.0,,2019-07-31 00:00:00,V1
DC0001,20JOHNNIE750,350000.0,10.0,2019-12-05 00:00:00,V2
DC0001,644,55000.0,,2019-07-31 00:00:00,V1
DC0001,20KEOCUNG100,10000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20KEOCUNG1001,10000.0,10.0,2020-04-06 00:00:00,V2
DC0001,20KEOCUNG1002,10000.0,10.0,2020-04-06 00:00:00,V2
DC0001,20KEOCUNG250,32000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20KIMANH45,27000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LAMBIC358,103000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LAMBIC415,120000.0,10.0,2019-12-05 00:00:00,V2
